Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/04/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2684.55,ACH_DEBIT,70623.81,,
CREDIT,12/01/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,73308.36,,
CREDIT,11/30/2023,"INTEREST PAYMENT",1.09,MISC_CREDIT,69288.08,,
DEBIT,11/24/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,69286.99,,
DEBIT,11/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-1.99,ACH_DEBIT,69293.98,,
DEBIT,11/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,69295.97,,
DEBIT,11/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,69298.96,,
DEBIT,11/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-119.99,ACH_DEBIT,69305.95,,
CREDIT,11/17/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,69425.94,,
DEBIT,11/14/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,65405.66,,
DEBIT,11/13/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,65424.65,,
DEBIT,11/06/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,65431.64,,
CREDIT,11/03/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,65438.63,,
DEBIT,11/02/2023,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,61418.35,,
DEBIT,11/02/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2684.55,ACH_DEBIT,61419.30,,
CREDIT,10/31/2023,"INTEREST PAYMENT",1.10,MISC_CREDIT,64103.85,,
DEBIT,10/30/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-26.99,ACH_DEBIT,64102.75,,
DEBIT,10/30/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,64129.74,,
DEBIT,10/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,64136.73,,
DEBIT,10/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-11.97,ACH_DEBIT,64139.72,,
CREDIT,10/20/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,64151.69,,
DEBIT,10/16/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-25.98,ACH_DEBIT,60131.41,,
DEBIT,10/10/2023,"FID BKG SVC LLC  MONEYLINE                  PPD ID: 1035141383",-6500.00,ACH_DEBIT,60157.39,,
DEBIT,10/10/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,66657.39,,
DEBIT,10/10/2023,"Online Transfer to CHK ...3687 transaction#: 18668835036 10/10",-2000.00,ACCT_XFER,66664.38,,
CREDIT,10/06/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,68664.38,,
DEBIT,10/02/2023,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,64644.10,,
DEBIT,10/02/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2684.55,ACH_DEBIT,64645.05,,
DEBIT,10/02/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,67329.60,,
CREDIT,09/29/2023,"INTEREST PAYMENT",1.03,MISC_CREDIT,67336.59,,
DEBIT,09/28/2023,"Online Transfer to CHK ...3687 transaction#: 18565016877 09/28",-2000.00,ACCT_XFER,67335.56,,
DEBIT,09/25/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,69335.56,,
CREDIT,09/22/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,69342.55,,
DEBIT,09/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-1.99,ACH_DEBIT,65322.27,,
